re_text,prevalence,se_prevalence,adjustment_type,RSE,outcome
Asian-Multiple,0.14034969388663313,0.054263783,Standardized,38.663271700743344,fphs
Asian-NHPI,0.082256994,0.031068284,Standardized,37.769778330684375,fphs
Asian-White,0.11135833853586016,0.027363185602834385,Standardized,24.572192763115584,fphs
Black,0.19068517084141617,0.008031962,Standardized,4.212158550705956,fphs
Black-Multiple,0.180259502,0.060413537,Standardized,33.51475854971866,fphs
Black-White,0.11629411913867384,0.027278646237821565,Standardized,23.456599903640353,fphs
Chinese,0.066848233,0.008936089,Standardized,13.367726974157081,fphs
DK/R,0.1251450677969113,0.012051204905800708,Standardized,9.629788147430403,fphs
Filipino,0.14421300572985676,0.014513887,Standardized,10.064201106298066,fphs
Hispanic-AIAN,0.31768257614382533,0.017148692,Standardized,5.3980588539031285,fphs
Hispanic-AIAN-White,0.28826268107120767,0.0502336,Standardized,17.426327851795858,fphs
Hispanic-Asian,0.22029080098198667,0.042341775434998244,Standardized,19.220854999960057,fphs
Hispanic-Black,0.3308715766696954,0.024282043901734322,Standardized,7.338812280625348,fphs
Hispanic-Black-White,0.4693223345659477,0.067458338,Standardized,14.373562340198772,fphs
Hispanic-NHPI,0.17834418109764233,0.04995596,Standardized,28.01098376680134,fphs
Hispanic-White,0.3156577285812721,0.005131443,Standardized,1.625635212225267,fphs
Japanese,0.066342815,0.015893174295696196,Standardized,23.956135039151793,fphs
Korean,0.12220502698745787,0.027597446,Standardized,22.58290531417204,fphs
Mexican,0.3499435421855332,0.009367301,Standardized,2.6768035987111114,fphs
Multiple Hispanic,0.2219884501986078,0.04341678,Standardized,19.558125582984143,fphs
NHPI-Multiple,0.17923756731550702,0.046994424820289295,Standardized,26.21907088125465,fphs
NHPI-White,0.09931763,0.048313479,Standardized,48.64542056151078,fphs
Other Asian,0.14529156862914738,0.019072532954879866,Standardized,13.127074843249828,fphs
Other Hispanic,0.2787372723387533,0.017281280524665026,Standardized,6.199845603591488,fphs
Other Pacific Islander,0.20527969741790258,0.04574162,Standardized,22.282583414623513,fphs
Other Race,0.15790015987019954,0.014503636616087398,Standardized,9.185321045912803,fphs
Other Race-White,0.20297513843856518,0.049894334,Standardized,24.58150008977536,fphs
Puerto Rican,0.13590221809046812,0.038462645,Standardized,28.301705350641104,fphs
Samoan,0.2328815218375647,0.062786425,Standardized,26.960672645970522,fphs
Unspecified Asian,0.11884050933020257,0.016412155947240447,Standardized,13.810236963591842,fphs
Unspecified NHPI,0.1142828766447318,0.036495350717186986,Standardized,31.934224783857278,fphs
Vietnamese,0.10568300530194012,0.021935882202442906,Standardized,20.756300542146118,fphs
White,0.11643106362762946,0.002173126,Standardized,1.8664485012103356,fphs
AIAN,0.18712347052078895,0.022642844009541193,Standardized,12.100483144376927,mphd_poor
AIAN-Black,0.2918207366745961,0.059239939,Standardized,20.300112991386417,mphd_poor
AIAN-Black-White,0.16398874418884835,0.039547209,Standardized,24.11580696045028,mphd_poor
AIAN-Multiple,0.17644745514653537,0.036967025,Standardized,20.950727347618738,mphd_poor
AIAN-White,0.19080855137146557,0.022847379464080584,Standardized,11.973980882859578,mphd_poor
Asian Indian,0.027573752,0.006729536,Standardized,24.405588273342886,mphd_poor
Asian-Black,0.21322181135055815,0.064660211,Standardized,30.325326741958957,mphd_poor
Asian-Multiple,0.14901077099932517,0.053615011,Standardized,35.98062786290316,mphd_poor
Asian-NHPI,0.019331295763120065,0.010558919827640928,Standardized,54.620859134466635,mphd_poor
Asian-White,0.052083816,0.021513056332902084,Standardized,41.304685511061415,mphd_poor
Black,0.1270216780547852,0.006520573,Standardized,5.133433501868004,mphd_poor
Black-Multiple,0.18687491791850488,0.052189139798156314,Standardized,27.92731115521651,mphd_poor
Black-White,0.10113401700181074,0.028827324935134905,Standardized,28.50408377887212,mphd_poor
Chinese,0.041153705646440976,0.006287417,Standardized,15.277888618697524,mphd_poor
DK/R,0.12248876920078934,0.015119918327257117,Standardized,12.343922161934566,mphd_poor
Filipino,0.083217932,0.011345405782761109,Standardized,13.633366625629616,mphd_poor
Hispanic-AIAN,0.15032225634583463,0.01321926,Standardized,8.793947087660078,mphd_poor
Hispanic-AIAN-White,0.17111760631346432,0.035330608606823945,Standardized,20.646974538729257,mphd_poor
Hispanic-Asian,0.11466297416014991,0.034285465398640004,Standardized,29.901078050490348,mphd_poor
Hispanic-Black,0.15001029519484071,0.018026387589953688,Standardized,12.016766960254383,mphd_poor
Hispanic-Black-White,0.1424806709288953,0.058170035,Standardized,40.826615270702874,mphd_poor
Hispanic-NHPI,0.20177847599693818,0.053636266947380794,Standardized,26.58175838,mphd_poor
Hispanic-White,0.1383038202777539,0.00391554,Standardized,2.8311145454572655,mphd_poor
Japanese,0.053051542,0.015577857372191903,Standardized,29.36362813717907,mphd_poor
Korean,0.038133421,0.012214237204577021,Standardized,32.03026896327895,mphd_poor
Mexican,0.13475737565888346,0.007014735,Standardized,5.205455121054485,mphd_poor
Multiple Hispanic,0.19434804897427962,0.04002152,Standardized,20.592704815975825,mphd_poor
NHPI-Multiple,0.083601335,0.031404648,Standardized,37.56476813959049,mphd_poor
NHPI-White,0.11873580244788592,0.055633968,Standardized,46.85525951601477,mphd_poor
Other Asian,0.078992855,0.013888493,Standardized,17.58196064,mphd_poor
Other Hispanic,0.1462567246575402,0.013681561846856644,Standardized,9.354483958868894,mphd_poor
Other Pacific Islander,0.12476565534295529,0.040768799,Standardized,32.676298938340516,mphd_poor
Other Race,0.12283266285102293,0.015460860368261711,Standardized,12.586929249440232,mphd_poor
Other Race-White,0.13324637740408812,0.041728781880598906,Standardized,31.317010408508583,mphd_poor
Puerto Rican,0.087530539,0.032487785,Standardized,37.11594250701832,mphd_poor
Samoan,0.074012116,0.033020185317712676,Standardized,44.614567505288115,mphd_poor
Unspecified Asian,0.073075248,0.013826026,Standardized,18.920259318601154,mphd_poor
Unspecified NHPI,0.066742579,0.024730601052605883,Standardized,37.05370926449565,mphd_poor
